administration,deaths,person_years,days,rate_per_100k,ci_lower,ci_upper
Bush,99,134962.40547945205,1938,73.3537607367799,59.61831709234445,89.30557167010922
Obama,67,270091.13424657536,2922,24.806441791174617,19.22465166064921,31.503304195878187
Trump 1,42,152843.09315068493,1461,27.479161232750666,19.80456238387901,37.143843145414806
Biden,26,120048.38493698632,1461,21.657934018560486,14.14768155732484,31.733891383146652
Trump 2,38,53928.45721369863,365,70.46372539347821,49.864325876478844,96.71696839495475
